,data,group,gender
0,445.56981205379503,1,0
1,443.6911040021782,1,1
2,444.9405337906612,1,1
3,462.93262293098917,1,1
4,437.15028293034453,1,1
5,438.5515599724723,1,0
6,494.55182002437164,1,0
7,451.4112783017382,1,1
8,417.7775064876666,1,1
9,457.23914943124373,1,1
10,451.7757003724802,1,0
11,463.77308557861033,1,0
12,456.5707670582869,1,0
13,479.4878177735011,1,1
14,426.0646643283632,1,0
15,453.27759963751936,1,0
16,426.3274378175077,1,1
17,412.7412318692277,1,0
18,462.93921198931235,1,0
19,456.9422183114606,1,0
20,521.02085372427,1,1
21,472.64606445872687,1,0
22,460.0556246961246,1,0
23,430.99412035661635,1,1
24,443.1575931838956,1,1
25,462.335029327849,1,0
26,452.83803000182104,1,1
27,492.12099072520846,1,0
28,453.79972553825934,1,1
29,458.59710087543084,1,0
30,504.8072388055921,1,0
31,427.22522424129045,1,0
32,445.33519974218405,1,0
33,438.24858248169306,1,0
34,393.6856731742702,1,0
35,449.93482189978323,1,0
36,420.27214283713056,1,1
37,414.17497891948574,1,0
38,427.1789940859161,1,0
39,401.01178665399374,1,0
40,422.36080605631935,2,0
41,447.10923531605624,2,0
42,435.11306286370416,2,1
43,458.05825694959697,2,1
44,451.1334670815234,2,1
45,398.85387702974947,2,1
46,468.6572024111727,2,1
47,412.5417981612982,2,1
48,442.8317652718628,2,1
49,482.87152892969016,2,1
50,484.57385359716534,2,1
51,434.35028568437036,2,1
52,472.2464767809753,2,1
53,439.7323765823814,2,0
54,459.21923547896085,2,1
55,461.9693013817519,2,1
56,454.14517663580244,2,1
57,407.87236758075824,2,1
58,485.72644977506394,2,1
59,446.6818805867447,2,1
60,439.9254361632232,2,1
61,463.66248302965556,2,1
62,458.7723356508461,2,0
63,463.47392484675254,2,0
64,453.71664384925026,2,1
65,442.2456805019357,2,0
66,474.10514221039733,2,0
67,448.19447582660774,2,1
68,451.96852369135445,2,1
69,430.94880536508947,2,0
70,460.61179558743254,2,0
71,408.11252853649984,2,1
72,482.9835824197692,2,0
73,457.00548873344997,2,1
74,420.4735751658813,2,1
75,418.1743396846352,2,0
76,447.39718576053934,2,0
77,437.95498035843326,2,1
78,409.4047777848117,2,0
79,391.9854474642949,2,0
80,446.22221060947874,3,1
81,492.65003947266155,3,1
82,462.55247147922285,3,1
83,489.88619184872596,3,1
84,478.3789209464425,3,1
85,431.9354853666653,3,1
86,469.3826052496714,3,0
87,437.8375291101998,3,0
88,463.7813754285583,3,0
89,418.9783622667764,3,1
90,439.07905513773466,3,1
91,425.5283231827353,3,0
92,478.7183884697031,3,0
93,495.1307302560319,3,0
94,506.5623952325314,3,1
95,453.4606701802926,3,1
96,434.17401826170806,3,0
97,488.45513370424254,3,1
98,415.1606552287993,3,0
99,513.4781091042216,3,0
100,402.06035171239574,3,0
101,488.47049626119275,3,0
102,500.8822854510586,3,0
103,431.181393376154,3,1
104,437.8703429051178,3,1
105,476.2547819962645,3,1
106,461.66061886761076,3,0
107,401.5495442341389,3,1
108,471.3090634794239,3,0
109,492.7094538883678,3,0
110,471.91648119967175,3,1
111,480.28714204550107,3,1
112,476.2962527437618,3,0
113,430.2533032814247,3,1
114,424.2057977587832,3,1
115,476.010845770428,3,1
116,445.17151272632424,3,1
117,495.5902677270154,3,0
118,464.4525190899609,3,1
119,471.14530649748446,3,0
